DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Taxa barchart2
COLOR	#00FF00
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
FIELD_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
LEGEND_TITLE	Dataset legend
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
LEGEND_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
MARGIN	0
WIDTH	200
DATA
Antidorcas_marsupialis	1	0	0	145	1	0	40	0	0
Bos_javanicus	0	0	1	70	0	0	21	0	0
Budorcas_taxicolor	1	0	4	78	0	1	70	0	0
Gazella_spekei	1	0	6	131	2	0	32	0	0
Ovis_ammon	0	0	1	194	306	0	34	1	0
Ovis_canadensis	3	0	10	357	189	0	37	4	0
Ovis_vignei	1	1	23	209	1	1	64	0	0
Giraffa_camelopardalis_reticulata	0	0	0	132	0	0	26	0	0
Okapia_johnstoni	0	0	7	110	0	1	33	0	0
Babyrousa_babyrussa	0	6	7	155	1	0	2	0	0
Potamochoerus_porcus	0	0	2	129	0	0	15	0	0
Sus_cebifons	0	0	4	104	4	0	26	0	0
Speothos_venaticus	0	0	0	112	6	0	28	0	5
Acinonyx_jubatus	12	0	0	110	10	0	1	0	3
Crocuta_crocuta	7	0	0	69	8	0	5	0	0
Panthera_leo	3410	0	114	137010	2629	258	33845	0	66833
Ailuropoda_melanoleuca	0	0	0	563	1	0	0	0	0
Ailurus_fulgens	850	0	0	295	0	0	0	0	0
Tremarctos_ornatus	0	0	0	195	0	0	0	0	0
Ursus_americanus	3	0	0	149	0	0	0	0	0
Ursus_maritimus	116	0	0	248	1	0	0	0	121
Carollia_perspicillata	2	1	0	266	1	0	2	0	0
Pteropus_giganteus	44	0	2	64	8	0	14	0	0
Procavia_capensis	0	0	0	68	0	0	184	0	0
Atelerix_albiventris	42	0	0	162	0	0	0	0	0
Oryctolagus_cuniculus	6265	0	1936	144120	381	455	28595	8250	0
Equus_asinus	2	0	39	71	3	1	34	0	0
Equus_ferus	3	0	52	271	5	0	127	0	0
Equus_grevyi	1	0	67	96	1	1	37	0	0
Equus_hartmannae	159	0	0	26	25	0	18	0	0
Diceros_bicornis	1	1	14	71	0	0	77	0	0
Rhinoceros_unicornis	13374	797	8556	65449	1150	302	98679	73	136
Ateles_geoffroyi	0	0	0	163	0	0	81	0	0
Callithrix_geoffroyi	0	0	0	16	4	0	65	0	0
Callimico_goeldii	0	0	0	37	1	0	12	0	0
Colobus_angolensis	0	0	0	127	0	0	21	0	0
Colobus_guereza	3	0	12	146	0	2	35	3	0
Papio_hamadryas	0	0	2	265	0	0	60	2	0
Presbytis_francoisis	43	1	2	206	0	0	110	0	0
Pygathrix_nemaeus	40674	0	79	8529	860	0	11867	20	0
Gorilla_gorilla	1025	5	4807	97211	4386	272	8703	684	2
Pan_paniscus	0	0	0	66	6	0	14	0	0
Pan_troglodytes	0	1	0	164	2	1	51	1	0
Pongo_pygmaeus_abelii	3	0	4	317	12	2	104	0	0
Eulemur_macaco	2	0	0	49	1	0	14	0	0
Eulemur_mongoz	0	0	0	184	3	0	93	0	0
Lemur_catta	1	0	34	111	0	0	44	0	0
Pithecia_pithecia	2	0	0	361	0	0	22	0	0
Elephas_maximus	2	1	71	194	3	3	117	0	0
Loxodonta_africana	81413	198	18078	183559	2544	489	155356	2083	59
Heterocephalus_glaber	29	0	0	130	15	0	84	1	0
Hydrochaeris_hydrochaeris	8	0	5	29	0	0	105	6	0
Callosciurus_prevosti	2	0	0	185	1	1	33	0	0
Tolypeutes_matacus	1	0	2	282	34	0	3	0	1
Macropus_rufus	4	0	34	179	0	1	54	0	0
Tachyglossus_aculeatus	19585	44	917	93986	5488	104	8181	60	518
Rhinecanthus_aculeatus	112971	97959	33710	17415	13060	5326	11167	32849	227
Cephalopholis_argus	72507	14492	4429	99607	1763	1581	11250	2794	4634
Chaetodon_auriga	22847	743	866	33370	7972	96	1407	1024	165
Myripristis_berndti	2172	27	0	30911	207	0	1585	29	856
Aulostomus_chinensis	15404	778	613	24576	8242	574	1915	509	335
Dascyllus_flavicaudus	48281	22865	6744	111081	16264	1961	2987	2744	1902
Epibulus_insidiator	74851	13602	4751	39754	9122	3654	8874	1656	11270
Naso_lituratus	12429	212	16166	98848	806	10258	67768	4655	1103
Epinephelus_merra	37276	1737	1466	177778	373	1438	9393	2212	3482
Chaetodon_ornatissimus	14371	328	10204	145712	2726	12977	57120	899	2769
Chaetodon_reticulatus	11594	945	7370	124595	2462	18628	57269	1173	2746
Zebrasoma_scopas	39577	127	13869	204182	1000	16336	113798	559	6442
Abudefduf_sexfasciatus	78695	27642	9129	53086	18006	2391	6022	8086	8481
Chlorurus_spilurus	167385	49891	11889	37657	6653	3718	12205	20496	5288
Sargocentron_spiniferum	32623	2623	671	116242	2971	1036	3887	148	5941
Ctenochaetus_striatus	118072	88788	26124	57568	8319	5741	21133	25487	3340
Halichoeres_trimaculatus	85724	69996	18070	16222	15872	7635	8121	23606	838
Cephalopholis_urodeta	52278	91	363	46063	4573	26500	1806	256	3190
Myripristis_violacea	24089	442	123	105996	3843	1160	6125	462	7559
Castor_fiber	1754	0	4392	21558	791	145	43027	37	20277
Equus_caballus	54505	97	22819	185909	2637	1175	158146	1400	45
Equus_hemionus	851	215	36898	151742	1646	969	121267	1266	49
Vulpes_vulpes	2339	0	0	48884	1217	9	15242	0	133046
Nyctalus_noctula	103051	0	0	1635	32	0	43	0	6
Erinaceus_europaeus	58095	0	73	44699	308	10	1433	0	69610
Falco_tinnunculus	19054	0	0	1706	22	0	3	0	0
Sus_scrofa	15631	617	17948	394817	6621	1660	158378	1698	16226
Rupicapra_rupicapra	577	117	3432	144074	869	64	67536	312	30
Canis_aureus	3710	0	0	15821	65	3	4506	0	66404
