,r,p
node35,0.05564484040664173,0.7577577577577578
node43,0.10081891084041805,0.5285285285285285
node42,0.32267509799147787,0.018018018018018018
node40,0.25926064051114184,0.03303303303303303
node48,0.19547629387782695,0.07507507507507508
node39,0.22267430843695338,0.018018018018018018
node55,0.019260149846879803,0.7747747747747747
node38,0.05008597747812822,0.6116116116116116
node184,0.06540454860222315,0.7707707707707707
node192,0.13397950695890695,0.4444444444444444
node195,0.26677244362663194,0.026026026026026026
node191,0.2920580233776362,0.011011011011011011
node175,0.12061665851136187,0.3133133133133133
node229,0.600959779300203,0.0
node265,-0.017779493149757533,1.0
node264,-0.08368589191955246,1.0
node263,0.08779326050730381,0.4314314314314314
node262,0.7986208431028278,0.001001001001001001
node257,0.7428129469310113,0.004004004004004004
node215,0.6528180835895743,0.0
node199,0.5237118511200148,0.0
node173,0.5016584396559177,0.0
node298,0.4374488211196252,0.0
node331,0.4753477738713703,0.005005005005005005
node324,0.43705974652424273,0.001001001001001001
node292,0.4942760283816546,0.012012012012012012
node375,0.5714886561545046,0.007007007007007007
node383,0.5427372279608954,0.0
node391,0.42791015502359414,0.0
node388,0.3747065378957655,0.0
node408,0.2848459258709249,0.0
node415,0.26271490463038644,0.0
node419,0.27101770703332195,0.0
