sampleid	sampletaxid	order	family	genus	species	diet	run	diet1	host	diet2	diet3	type	taxaname	treetax
SBK	Antidorcas_marsupialis	Artiodactyla	Bovidae	Antidorcas	marsupialis	H	a	herbivore	Mammalia	herbivore	H	animal	"""Antidorcas marsupialis"""	Antidorcas_marsupialis
SBSD	Antidorcas_marsupialis	Artiodactyla	Bovidae	Antidorcas	marsupialis	H	a	herbivore	Mammalia	herbivore	H	animal	"""Antidorcas marsupialis"""	Antidorcas_marsupialis
BG	Bos_javanicus	Artiodactyla	Bovidae	Bos	javanicus	H	a	herbivore	Mammalia	herbivore	H	animal	"""Bos javanicus"""	Bos_javanicus
TAK	Budorcas_taxicolor	Artiodactyla	Bovidae	Budorcas	taxicolor	H	a	herbivore	Mammalia	herbivore	H	animal	"""Budorcas taxicolor"""	Budorcas_taxicolor
SP2	Gazella_spekei	Artiodactyla	Bovidae	Gazella	spekei	H	a	herbivore	Mammalia	herbivore	H	animal	"""Gazella spekei"""	Gazella_spekei
SP3	Gazella_spekei	Artiodactyla	Bovidae	Gazella	spekei	H	a	herbivore	Mammalia	herbivore	H	animal	"""Gazella spekei"""	Gazella_spekei
AS1	Ovis_ammon	Artiodactyla	Bovidae	Ovis	ammon	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ovis ammon"""	Ovis_ammon
AS2	Ovis_ammon	Artiodactyla	Bovidae	Ovis	ammon	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ovis ammon"""	Ovis_ammon
AS3	Ovis_ammon	Artiodactyla	Bovidae	Ovis	ammon	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ovis ammon"""	Ovis_ammon
BH1	Ovis_canadensis	Artiodactyla	Bovidae	Ovis	canadensis	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ovis canadensis"""	Ovis_canadensis
BH2	Ovis_canadensis	Artiodactyla	Bovidae	Ovis	canadensis	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ovis canadensis"""	Ovis_canadensis
BHSD	Ovis_canadensis	Artiodactyla	Bovidae	Ovis	canadensis	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ovis canadensis"""	Ovis_canadensis
TU1	Ovis_vignei	Artiodactyla	Bovidae	Ovis	vignei	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ovis vignei"""	Ovis_vignei
TU2	Ovis_vignei	Artiodactyla	Giraffidae	Ovis	vignei	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ovis vignei"""	Ovis_vignei
gir	Giraffa_camelopardalis_reticulata	Artiodactyla	Giraffidae	Giraffa	camelopardalis_reticulata	H	a	herbivore	Mammalia	herbivore	H	animal	"""Giraffa camelopardalis reticulata"""	Giraffa_camelopardalis_reticulata
OK1	Okapia_johnstoni	Artiodactyla	Giraffidae	Okapia	johnstoni	H	a	herbivore	Mammalia	herbivore	H	animal	"""Okapia johnstoni"""	Okapia_johnstoni
OK2	Okapia_johnstoni	Artiodactyla	Giraffidae	Okapia	johnstoni	H	a	herbivore	Mammalia	herbivore	H	animal	"""Okapia johnstoni"""	Okapia_johnstoni
OK3	Okapia_johnstoni	Artiodactyla	Giraffidae	Okapia	johnstoni	H	a	herbivore	Mammalia	herbivore	H	animal	"""Okapia johnstoni"""	Okapia_johnstoni
BARB	Babyrousa_babyrussa	Artiodactyla	Suidae	Babyrousa	babyrussa	H	a	herbivore	Mammalia	herbivore	H	animal	"""Babyrousa babyrussa"""	Babyrousa_babyrussa
RRH	Potamochoerus_porcus	Artiodactyla	Suidae	Potamochoerus	porcus	H	a	herbivore	Mammalia	herbivore	H	animal	"""Potamochoerus porcus"""	Potamochoerus_porcus
VWP	Sus_cebifons	Artiodactyla	Suidae	Sus	cebifons	H	a	herbivore	Mammalia	herbivore	H	animal	"""Sus cebifons"""	Sus_cebifons
bdog1	Speothos_venaticus	Carnivora	Canidae	Speothos	venaticus	C	a	carnivore	Mammalia	carnivore	C	animal	"""Speothos venaticus"""	Speothos_venaticus
bdog3	Speothos_venaticus	Carnivora	Canidae	Speothos	venaticus	C	a	carnivore	Mammalia	carnivore	C	animal	"""Speothos venaticus"""	Speothos_venaticus
CE2	Acinonyx_jubatus	Carnivora	Felidae	Acinonyx	jubatus	C	a	carnivore	Mammalia	carnivore	C	animal	"""Acinonyx jubatus"""	Acinonyx_jubatus
CE3	Acinonyx_jubatus	Carnivora	Felidae	Acinonyx	jubatus	C	a	carnivore	Mammalia	carnivore	C	animal	"""Acinonyx jubatus"""	Acinonyx_jubatus
HY1	Crocuta_crocuta	Carnivora	Hyaenidae	Crocuta	crocuta	C	a	carnivore	Mammalia	carnivore	C	animal	"""Crocuta crocuta"""	Crocuta_crocuta
HY2	Crocuta_crocuta	Carnivora	Hyaenidae	Crocuta	crocuta	C	a	carnivore	Mammalia	carnivore	C	animal	"""Crocuta crocuta"""	Crocuta_crocuta
LI1	Panthera_leo	Carnivora	Pantherinae	Panthera	leo	C	a	carnivore	Mammalia	carnivore	C	animal	"""Panthera leo"""	Panthera_leo
LI2	Panthera_leo	Carnivora	Pantherinae	Panthera	leo	C	a	carnivore	Mammalia	carnivore	C	animal	"""Panthera leo"""	Panthera_leo
LI3	Panthera_leo	Carnivora	Pantherinae	Panthera	leo	C	a	carnivore	Mammalia	carnivore	C	animal	"""Panthera leo"""	Panthera_leo
GP	Ailuropoda_melanoleuca	Carnivora	Ursidae	Ailuropoda	melanoleuca	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ailuropoda melanoleuca"""	Ailuropoda_melanoleuca
RP	Ailurus_fulgens	Carnivora	Ursidae	Ailurus	fulgens	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ailurus fulgens"""	Ailurus_fulgens
RPSD	Ailurus_fulgens	Carnivora	Ursidae	Ailurus	fulgens	H	a	herbivore	Mammalia	herbivore	H	animal	"""Ailurus fulgens"""	Ailurus_fulgens
SB	Tremarctos_ornatus	Carnivora	Ursidae	Tremarctos	ornatus	O	a	omnivore	Mammalia	omnivore	O	animal	"""Tremarctos ornatus"""	Tremarctos_ornatus
BB1	Ursus_americanus	Carnivora	Ursidae	Ursus	americanus	O	a	omnivore	Mammalia	omnivore	O	animal	"""Ursus americanus"""	Ursus_americanus
BB2	Ursus_americanus	Carnivora	Ursidae	Ursus	americanus	O	a	omnivore	Mammalia	omnivore	O	animal	"""Ursus americanus"""	Ursus_americanus
PB1	Ursus_maritimus	Carnivora	Ursidae	Ursus	maritimus	C	a	carnivore	Mammalia	carnivore	C	animal	"""Ursus maritimus"""	Ursus_maritimus
PB2	Ursus_maritimus	Carnivora	Ursidae	Ursus	maritimus	C	a	carnivore	Mammalia	carnivore	C	animal	"""Ursus maritimus"""	Ursus_maritimus
bat	Carollia_perspicillata	Carnivora	Phyllostomidae	Carollia	perspicillata	O	a	omnivore	Mammalia	omnivore	O	animal	"""Carollia perspicillata"""	Carollia_perspicillata
FF	Pteropus_giganteus	Carnivora	Pterodidae	Pteropus	giganteus	O	a	omnivore	Mammalia	omnivore	O	animal	"""Pteropus giganteus"""	Pteropus_giganteus
HRX	Procavia_capensis	Hyracoidea	Procaviidae	Procavia	capensis	H	a	herbivore	Mammalia	herbivore	H	animal	"""Procavia capensis"""	Procavia_capensis
RHSD	Procavia_capensis	Hyracoidea	Procaviidae	Procavia	capensis	H	a	herbivore	Mammalia	herbivore	H	animal	"""Procavia capensis"""	Procavia_capensis
