sampleid	Extraction_ID	Location	Sitename	Lat	Long	Habitat	Date	Time	Family	Genus	species	Tax	Weight	TL	SL	SI	Diet	Microbiome	AE1	AE2	Gonads	GW	LW	Otolith	Sex	Month
29	F198	Moorea	TheHangover	-17.54487	-149.90109	Lagoon	30/03/2018	10:45-12:40	Balistidae	Rhinecanthus	aculeatus	RHINACUL	201.5	20.5	18.5	Y	omnivore	Y	Y	Y	N	NA	NA	NA	NA	March
48	F291	Moorea	LastPass	-17.47321	-149.78116	Lagoon	2/7/2018	10:45-11:50	Balistidae	Rhinecanthus	aculeatus	RHINACUL	127	17.7	15	Y	omnivore	Y	Y	N	Y	0.49	4.86	NA	F	July
74	F441	Moorea	Pharmacie	-17.48306	-149.8163	Lagoon	11/7/2018	10.10-12.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	132.2	18.2	15.2	Y	omnivore	Y	Y	N	Y	0.02	1.274	NA	M	July
122	T082	Tetiaroa	TL1	-17.00431	-149.57365	Lagoon	29.10.18	10.30-11.40	Balistidae	Rhinecanthus	aculeatus	RHINACUL	93.3	16.3	13.3	Y	omnivore	Y	Y	Y	Y	0.427	3.602	N	M	NA
129	T092	Tetiaroa	TL1	-17.00431	-149.57365	Lagoon	29.10.18	10.30-11.40	Balistidae	Rhinecanthus	aculeatus	RHINACUL	81.9	16.1	13.5	Y	omnivore	Y	Y	Y	Y	0.327	1.963	N	F	NA
130	T093	Tetiaroa	TL1	-17.00431	-149.57365	Lagoon	29.10.18	10.30-11.40	Balistidae	Rhinecanthus	aculeatus	RHINACUL	27.2	11.7	9.2	Y	omnivore	Y	Y	Y	Y	0.045	NA	N	M	NA
131	T094	Tetiaroa	TL1	-17.00431	-149.57365	Lagoon	29.10.18	10.30-11.40	Balistidae	Rhinecanthus	aculeatus	RHINACUL	178.8	20.1	16.4	Y	omnivore	Y	Y	Y	Y	0.105	8.344	N	M	NA
133	T100	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	29.10.18	12.10-14.30	Balistidae	Rhinecanthus	aculeatus	RHINACUL	171.4	19.8	16	Y	omnivore	Y	N	Y	Y	0.068	8.078	N	M	NA
134	T101	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	29.10.18	12.10-14.30	Balistidae	Rhinecanthus	aculeatus	RHINACUL	159.9	17.5	14.5	Y	omnivore	Y	Y	Y	Y	0.273	5.025	N	M	NA
137	T113	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	186.3	20.9	17.1	Y	omnivore	Y	Y	Y	Y	0.164	2.711	N	M	NA
138	T115	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	116.3	17.3	13.9	Y	omnivore	Y	N	N	N	2.373	3.215	N	F	NA
139	T116	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	179.2	20.1	16.3	Y	omnivore	Y	Y	Y	Y	0.125	5.045	N	M	NA
140	T117	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	103.9	17.3	14.1	Y	omnivore	Y	Y	Y	Y	2.278	1.181	N	F	NA
141	T118	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	131.8	18.5	14.9	Y	omnivore	Y	Y	Y	Y	0.145	1.25	N	M	NA
142	T119	Tetiaroa	TL3	-17.00309	-149.58783	Lagoon	30.10.18	10.45-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	66.1	15.4	12.4	Y	omnivore	Y	Y	Y	Y	0.252	0.652	N	F	NA
201	A34	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	132.6	17.3	13.9	Y	omnivore	Y	Y	N	N	NA	NA	N	M	NA
275	A169	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	96.4	15.5	13	Y	omnivore	Y	Y	Y	Y	0.47	6.198	N	M	NA
291	A187	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	113.2	17.5	14.2	Y	omnivore	Y	Y	Y	N	NA	1.468	N	NA	NA
303	A205	Mangareva	F2	-23.062236	-134.996667	Lagoon	18.06.18	11.00-13.00	Balistidae	Rhinecanthus	aculeatus	RHINACUL	186.7	19.6	15.1	Y	omnivore	Y	Y	Y	Y	0.06	4.9	N	M	NA
