taxtree,Proteobacteria,Planctomycetota,Verrucomicrobiota,Firmicutes,Actinobacteriota,Desulfobacterota,Bacteroidota,Chloroflexi,Cyanobacteria,Fusobacteriota,Myxococcota,SAR324_clade(Marine_group_B),Bdellovibrionota,Dependentiae,Spirochaetota,Deferribacterota,Synergistota,Patescibacteria,Acidobacteriota,d__Archaea;Thermoplasmatota,Elusimicrobiota,WPS-2,Campilobacterota,d__Archaea;Euryarchaeota,d__Archaea;Crenarchaeota,Fibrobacterota,NB1-j,Rs-K70_termite_group,d__Archaea;Halobacterota,d__Archaea;Nanoarchaeota,Gemmatimonadota,Latescibacterota,PAUC34f,Armatimonadota,MBNT15,Dadabacteria,Poribacteria,Sva0485,Entotheonellaeota,Halanaerobiaeota,Hydrogenedentes,Schekmanbacteria,Nitrospirota,Sumerlaeota,Deinococcota,Nitrospinota,Modulibacteria,FW113,AncK6,WS2,Calditrichota,Methylomirabilota,Cloacimonadota,Zixibacteria,Marinimicrobia_(SAR406_clade),RCP2-54,Abditibacteriota
Antidorcas_marsupialis,1,0,0,145,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bos_javanicus,0,0,1,70,0,0,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Budorcas_taxicolor,1,0,4,78,0,1,70,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gazella_spekei,1,0,6,131,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovis_ammon,0,0,1,194,306,0,34,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovis_canadensis,3,0,10,357,189,0,37,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovis_vignei,1,1,23,209,1,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giraffa_camelopardalis_reticulata,0,0,0,132,0,0,26,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okapia_johnstoni,0,0,7,110,0,1,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babyrousa_babyrussa,0,6,7,155,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
