DATASET_MULTIBAR									
SEPARATOR TAB									
DATASET_LABEL	Taxa barchart2								
COLOR	#00FF00								
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
FIELD_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
LEGEND_TITLE	Dataset legend								
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
LEGEND_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
MARGIN	0								
WIDTH	200								
DATA									
'Antidorcas_marsupialis'	0.534759358	0	0	77.54010695	0.534759358	0	21.39037433	0	0
'Bos_javanicus'	0	0	1.086956522	76.08695652	0	0	22.82608696	0	0
'Budorcas_taxicolor'	0.649350649	0	2.597402597	50.64935065	0	0.649350649	45.45454545	0	0
'Gazella_spekei'	0.581395349	0	3.488372093	76.1627907	1.162790698	0	18.60465116	0	0
'Ovis_ammon'	0	0	0.186567164	36.19402985	57.08955224	0	6.343283582	0.186567164	0
'Ovis_canadensis'	0.5	0	1.666666667	59.5	31.5	0	6.166666667	0.666666667	0
'Ovis_vignei'	0.333333333	0.333333333	7.666666667	69.66666667	0.333333333	0.333333333	21.33333333	0	0
'Giraffa_camelopardalis_reticulata'	0	0	0	83.5443038	0	0	16.4556962	0	0
'Okapia_johnstoni'	0	0	4.635761589	72.84768212	0	0.662251656	21.85430464	0	0
'Babyrousa_babyrussa'	0	3.50877193	4.093567251	90.64327485	0.584795322	0	1.169590643	0	0
'Potamochoerus_porcus'	0	0	1.369863014	88.35616438	0	0	10.2739726	0	0
'Sus_cebifons'	0	0	2.898550725	75.36231884	2.898550725	0	18.84057971	0	0
'Speothos_venaticus'	0	0	0	74.17218543	3.973509934	0	18.54304636	0	3.311258278
'Acinonyx_jubatus'	8.823529412	0	0	80.88235294	7.352941176	0	0.735294118	0	2.205882353
'Crocuta_crocuta'	7.865168539	0	0	77.52808989	8.988764045	0	5.617977528	0	0
'Panthera_leo'	1.396974179	0	0.046702363	56.12886575	1.077022028	0.105694821	13.86527597	0	27.37946489
'Ailuropoda_melanoleuca'	0	0	0	99.82269504	0.177304965	0	0	0	0
'Ailurus_fulgens'	74.23580786	0	0	25.76419214	0	0	0	0	0
'Tremarctos_ornatus'	0	0	0	100	0	0	0	0	0
'Ursus_americanus'	1.973684211	0	0	98.02631579	0	0	0	0	0
'Ursus_maritimus'	23.86831276	0	0	51.02880658	0.205761317	0	0	0	24.89711934
'Carollia_perspicillata'	0.735294118	0.367647059	0	97.79411765	0.367647059	0	0.735294118	0	0
'Pteropus_giganteus'	33.33333333	0	1.515151515	48.48484848	6.060606061	0	10.60606061	0	0
'Procavia_capensis'	0	0	0	26.98412698	0	0	73.01587302	0	0
'Atelerix_albiventris'	20.58823529	0	0	79.41176471	0	0	0	0	0
'Oryctolagus_cuniculus'	3.297333712	0	1.018936643	75.85183314	0.200524205	0.239471163	15.04984158	4.342059557	0
'Equus_asinus'	1.333333333	0	26	47.33333333	2	0.666666667	22.66666667	0	0
'Equus_ferus'	0.655021834	0	11.35371179	59.17030568	1.091703057	0	27.72925764	0	0
'Equus_grevyi'	0.492610837	0	33.00492611	47.29064039	0.492610837	0.492610837	18.22660099	0	0
'Equus_hartmannae'	69.73684211	0	0	11.40350877	10.96491228	0	7.894736842	0	0
'Diceros_bicornis'	0.609756098	0.609756098	8.536585366	43.29268293	0	0	46.95121951	0	0
'Rhinoceros_unicornis'	7.094358039	0.422775786	4.538606803	34.71800802	0.610027796	0.160198604	52.34515903	0.038723504	0.072142418
'Ateles_geoffroyi'	0	0	0	66.80327869	0	0	33.19672131	0	0
'Callithrix_geoffroyi'	0	0	0	18.82352941	4.705882353	0	76.47058824	0	0
'Callimico_goeldii'	0	0	0	74	2	0	24	0	0
'Colobus_angolensis'	0	0	0	85.81081081	0	0	14.18918919	0	0
'Colobus_guereza'	1.492537313	0	5.970149254	72.63681592	0	0.995024876	17.41293532	1.492537313	0
'Papio_hamadryas'	0	0	0.607902736	80.54711246	0	0	18.23708207	0.607902736	0
'Presbytis_francoisis'	11.87845304	0.276243094	0.552486188	56.90607735	0	0	30.38674033	0	0
'Pygathrix_nemaeus'	65.57255477	0	0.127359783	13.75002015	1.386448274	0	19.13137403	0.032242983	0
'Gorilla_gorilla'	0.875357616	0.004270037	4.105213715	83.01891626	3.745676587	0.232290021	7.432426662	0.584141082	0.001708015
'Pan_paniscus'	0	0	0	76.74418605	6.976744186	0	16.27906977	0	0
'Pan_troglodytes'	0	0.454545455	0	74.54545455	0.909090909	0.454545455	23.18181818	0.454545455	0
'Pongo_pygmaeus_abelii'	0.678733032	0	0.904977376	71.71945701	2.714932127	0.452488688	23.52941176	0	0
'Eulemur_macaco'	3.03030303	0	0	74.24242424	1.515151515	0	21.21212121	0	0
'Eulemur_mongoz'	0	0	0	65.71428571	1.071428571	0	33.21428571	0	0
'Lemur_catta'	0.526315789	0	17.89473684	58.42105263	0	0	23.15789474	0	0
'Pithecia_pithecia'	0.519480519	0	0	93.76623377	0	0	5.714285714	0	0
'Elephas_maximus'	0.511508951	0.255754476	18.15856777	49.61636829	0.767263427	0.767263427	29.92327366	0	0
'Loxodonta_africana'	18.34539264	0.044616803	4.073649271	41.36270531	0.573258311	0.110189982	35.007515	0.469377776	0.013294906
'Heterocephalus_glaber'	11.1969112	0	0	50.19305019	5.791505792	0	32.43243243	0.386100386	0
'Hydrochaeris_hydrochaeris'	5.22875817	0	3.267973856	18.95424837	0	0	68.62745098	3.921568627	0
'Callosciurus_prevosti'	0.900900901	0	0	83.33333333	0.45045045	0.45045045	14.86486486	0	0
'Tolypeutes_matacus'	0.309597523	0	0.619195046	87.30650155	10.52631579	0	0.92879257	0	0.309597523
'Macropus_rufus'	1.470588235	0	12.5	65.80882353	0	0.367647059	19.85294118	0	0
