,carnivore,corallivore,detritivore,herbivore,omnivore,planktivore
sampleid,,,,,,
1,0,0,0,1,0,0
10,0,1,0,0,0,0
100,1,0,0,0,0,0
101,1,0,0,0,0,0
101Horse,0,0,0,1,0,0
102,1,0,0,0,0,0
102Kulan,0,0,0,1,0,0
103,0,0,0,0,0,1
104,1,0,0,0,0,0
105,1,0,0,0,0,0
106,1,0,0,0,0,0
107,1,0,0,0,0,0
108,0,1,0,0,0,0
109,0,1,0,0,0,0
109RedFox,0,0,0,0,1,0
10HouseMouse,0,0,0,0,1,0
11,0,0,0,1,0,0
110,0,0,0,1,0,0
110Noctule,1,0,0,0,0,0
111,1,0,0,0,0,0
111WestEuropeanHedgehog,1,0,0,0,0,0
112,1,0,0,0,0,0
113,0,1,0,0,0,0
114,0,1,0,0,0,0
115,0,1,0,0,0,0
116,1,0,0,0,0,0
117,1,0,0,0,0,0
118,1,0,0,0,0,0
119,1,0,0,0,0,0
11Onager,0,0,0,1,0,0
12,0,1,0,0,0,0
120,1,0,0,0,0,0
121,1,0,0,0,0,0
122,0,0,0,0,1,0
122WildBoar,0,0,0,0,1,0
123,0,0,0,1,0,0
123AlpineChamois,0,0,0,1,0,0
124,0,0,0,1,0,0
124GoldenJackal,1,0,0,0,0,0
125,0,0,0,1,0,0
125CommonCarp,0,0,0,0,1,0
126,0,0,0,1,0,0
127,0,0,0,1,0,0
127AlpineMarmot,0,0,0,1,0,0
128,0,0,0,0,1,0
128AlpineMarmot,0,0,0,1,0,0
129,0,0,0,0,1,0
129AlpineIbex,0,0,0,1,0,0
12LesserWhitetoothedShrew,1,0,0,0,0,0
13,0,1,0,0,0,0
130,0,0,0,0,1,0
130AlpineIbex,0,0,0,1,0,0
131,0,0,0,0,1,0
132,0,1,0,0,0,0
133,0,0,0,0,1,0
133DomesticGoat,0,0,0,1,0,0
134,0,0,0,0,1,0
134DomesticGoat,0,0,0,1,0,0
135,1,0,0,0,0,0
136,1,0,0,0,0,0
136DomesticPig,0,0,0,0,1,0
137,0,0,0,0,1,0
137Gaur,0,0,0,1,0,0
138,0,0,0,0,1,0
138Gaur,0,0,0,1,0,0
139,0,0,0,0,1,0
139Sambar,0,0,0,1,0,0
13Wolf,1,0,0,0,0,0
14,0,1,0,0,0,0
140,0,0,0,0,1,0
140Sambar,0,0,0,1,0,0
141,0,0,0,0,1,0
141RedcheekedGibbon,0,0,0,0,1,0
142,0,0,0,0,1,0
143,1,0,0,0,0,0
144,0,0,0,1,0,0
144Cattle,0,0,0,1,0,0
145,0,0,0,1,0,0
146,0,0,0,1,0,0
147,0,0,0,1,0,0
148,0,0,0,0,0,1
149,0,0,0,0,0,1
15,0,0,0,0,1,0
150,0,0,0,0,0,1
151,0,0,0,0,0,1
152,0,0,0,0,0,1
153,0,0,0,1,0,0
154,0,1,0,0,0,0
155,0,1,0,0,0,0
155LongtailedFieldMouse,0,0,0,0,1,0
156,1,0,0,0,0,0
157,1,0,0,0,0,0
158,1,0,0,0,0,0
159,1,0,0,0,0,0
16,1,0,0,0,0,0
160,0,0,0,0,1,0
161,0,0,0,0,1,0
162,1,0,0,0,0,0
163,1,0,0,0,0,0
164,1,0,0,0,0,0
165,1,0,0,0,0,0
166,1,0,0,0,0,0
167,0,1,0,0,0,0
168,0,0,0,0,0,1
169,0,1,0,0,0,0
16FatDormouse,0,0,0,0,1,0
17,1,0,0,0,0,0
170,1,0,0,0,0,0
171,1,0,0,0,0,0
172,0,0,0,0,0,1
173,0,1,0,0,0,0
174,1,0,0,0,0,0
175,0,0,0,0,1,0
176,0,0,0,0,1,0
177,0,0,0,0,1,0
178,1,0,0,0,0,0
179,1,0,0,0,0,0
18,0,0,0,0,0,1
180,1,0,0,0,0,0
181,1,0,0,0,0,0
182,0,0,0,0,1,0
183,0,0,0,0,1,0
184,0,0,0,0,1,0
185,0,0,0,0,1,0
186,0,0,0,0,1,0
187,1,0,0,0,0,0
188,0,0,0,1,0,0
188BrookTrout,1,0,0,0,0,0
189,0,0,0,1,0,0
18WestEuropeanHedgehog,1,0,0,0,0,0
19,0,0,0,0,0,1
190,0,0,0,0,1,0
191,1,0,0,0,0,0
192,0,0,0,0,1,0
193,0,1,0,0,0,0
194,0,0,0,0,1,0
195,0,1,0,0,0,0
196,0,0,0,0,1,0
197,0,1,0,0,0,0
198,0,0,0,0,1,0
199,0,0,0,0,0,1
199Human,0,0,0,0,1,0
