Antidorcas marsupialis
Bos javanicus
Budorcas taxicolor
Gazella spekei
Ovis ammon
Ovis canadensis
Ovis vignei
Giraffa camelopardalis
Okapia johnstoni
Babyrousa babyrussa
Potamochoerus porcus
Sus cebifrons
Speothos venaticus
Acinonyx jubatus
Crocuta crocuta
Ailuropoda melanoleuca
Ailurus fulgens
Tremarctos ornatus
Ursus americanus
Ursus maritimus
Carollia perspicillata
Pteropus giganteus
Procavia capensis
Atelerix albiventris
Oryctolagus cuniculus
Equus asinus
Equus caballus
Equus grevyi
Equus zebra
Diceros bicornis
Ateles geoffroyi
Callithrix geoffroyi
Callimico goeldii
Colobus angolensis
Colobus guereza
Papio hamadryas
Trachypithecus francoisi
Pygathrix nemaeus
Gorilla gorilla
Pan paniscus
Pan troglodytes
Pongo pygmaeus abelii
Eulemur macaco
Eulemur mongoz
Lemur catta
Pithecia pithecia
Elephas maximus
Loxodonta africana
Heterocephalus glaber
Hydrochaeris hydrochaeris
Callosciurus prevosti
Tolypeutes matacus
Macropus rufus
Tachyglossus aculeatus
Bos taurus
Rattus norvegicus
Homo sapiens
Gorilla beringei
Rhinecanthus aculeatus
Cephalopholis argus
Chaetodon auriga
Myripristis berndti
Aulostomus chinensis
Dascyllus flavicaudus
Epibulus insidiator
Naso lituratus
Epinephelus merra
Chaetodon ornatissimus
Chaetodon reticulatus
Zebrasoma scopas
Abudefduf sexfasciatus
Chlorurus spilurus
Sargocentron spiniferum
Ctenochaetus striatus
Halichoeres trimaculatus
Cephalopholis urodeta
Myripristis violacea
Castor fiber
Equus caballus
Equus hemionus
Vulpes vulpes
Nyctalus noctula
Erinaceus europaeus
Falco tinnunculus
Sus scrofa
Rupicapra rupicapra
Canis aureus
Marmota marmota
Capra ibex
Capra hircus
Bos frontalis
Cervus unicolor
Apodemus sylvaticus
Ardea cinerea
Haliaeetus albicilla
Phalacrocorax carbo
Carduelis chloris
Salvelinus fontinalis
Hemidactylus frenatus
Ursus arctos
Zamenis longissimus
Podarcis siculus
Cricetus cricetus
Lynx lynx
Sander lucioperca
Turdus merula
Ciconia ciconia
Corvus frugilegus
Macropus fuliginosus
Vespadelus vulturnus
Phascolarctos cinereus
Chrysococcyx basalis
Martes foina
Lepus europaeus
Anser anser
Blicca bjoerkna
Halichoerus grypus
Phoca vitulina
Mesoplodon bidens
Lagenorhynchus albirostris
Bufo viridis
Rana dalmatina
Odocoileus virginianus
Philander opossum
Heteromys desmarestianus
Martes martes
Rhinoceros unicornis
Spermophilus citellus
Crocodylus moreletii
Acrocephalus scirpaceus
Papio ursinus
Crocodylus niloticus
Aepyceros melampus
Panthera pardus
Panthera leo
Chlorocebus pygerythrus
Ceratotherium simum
Giraffa camelopardalis
Syncerus caffer
Hippopotamus amphibius
Equus burchellii
Procyon lotor
Camelus bactrianus
Calidris alpina
Canis lupus
Eliomys quercinus
Glis glis
Vipera ursinii
Sciurus vulgaris
Bufo bufo
Leuciscus aspius
Mus musculus
Asio otus
Crocidura suaveolens
Cyprinus carpio
Lagopus muta
Nomascus gabriellae
Parus major
Nyctereutes procyonoides
Cervus elaphus
Apodemus flavicollis
Felis catus
Corvus corone
Nycticebus pygmaeus
Trachypithecus hatinhensis
Trachypithecus delacouri
Nomascus siki
Testudo hermanni
Circus aeruginosus
Branta leucopsis
Trichosurus vulpecula
Macropus giganteus
Dromaius novaehollandiae
Gallus gallus
Carassius gibelio
Meleagris gallopavo
Leuciscus idus
Phocoena phocoena
Balaenoptera borealis
Anas platyrhynchos
Manis temminckii
Lissotriton vulgaris
Natrix natrix
Potos flavus
Choloepus hoffmanni
Tamandua mexicana
Bradypus variegatus
Lepus tolai
Gazella subgutturosa
Strix uralensis
Dendrocopos major
Caprimulgus europaeus
Capreolus capreolus
Lutra lutra
Tringa glareola
Esox lucius
Dama dama
Ovis aries
Porites lutea
Pocillopora damicornis
Acropora hyacinthus
Stegastes nigricans
