,0
422CommonHippopotamus,285048.0
95MeadowViper,272202.0
410Impala,260782.0
136DomesticPig,249753.0
F80RedDeer,215564.0
122WildBoar,201833.0
395Przewalskihorse,184068.0
F302NorthernPike,177447.0
433Raccoon,174820.0
WS16,171755.0
430Giraffe,158674.0
403ChacmaBaboon,151066.0
396Moreletscrocodile,150586.0
19EuropeanGroundSquirrel,149029.0
394Przewalskihorse,146316.0
88EuropeanRabbit,142971.0
408AfricanBushElephant,142656.0
101Horse,142446.0
419AfricanBuffalo,141417.0
423Quagga,135925.0
F44FallowDeer,132311.0
415WhiteRhinoceros,132214.0
414VervetMonkey,131825.0
389IndianRhinoceros,131444.0
F157bEuropeanToad,128191.0
407AfricanBushElephant,127889.0
77Onager,125545.0
429Giraffe,125049.0
96EuropeanHare,124041.0
123AlpineChamois,123275.0
412Lion,122826.0
413Lion,121095.0
128AlpineMarmot,120644.0
411Leopard,120155.0
420Cattle,119710.0
428AfricanBushElephant,119693.0
252EurasianLynx,118267.0
416WhiteRhinoceros,117223.0
137Gaur,116731.0
405NileCrocodile,115790.0
424Quagga,115586.0
158WhitetailedEagle,115022.0
138Gaur,112774.0
134DomesticGoat,112481.0
140Sambar,112195.0
F35RedDeer,110064.0
F45RedDeer,109404.0
133DomesticGoat,108699.0
F36RedDeer,108304.0
F47RedDeer,107939.0
129AlpineIbex,107219.0
390EuropeanGroundSquirrel,107045.0
81Wolf,105900.0
333GraySeal,105854.0
F68RedDeer,105801.0
F48RedDeer,103222.0
221AlpineIbex,102865.0
109RedFox,102218.0
67EuropeanRoe,102104.0
431Quagga,101606.0
359BrownthroatedSloth,101429.0
F69RedDeer,100686.0
3AlpineChamois,99053.0
4RedFox,98918.0
87GardenDormouse,98780.0
141RedcheekedGibbon,97806.0
239DelacoursLangur,97659.0
233AesculapianSnake,97403.0
427GreatSpottedWoodpecker,97177.0
127AlpineMarmot,96935.0
432VervetMonkey,96671.0
139Sambar,96650.0
F157aEuropeanToad,96119.0
21YellowneckedFieldMouse,95814.0
6CommonHamster,94276.0
418Giraffe,93937.0
275BarnacleGoose,93673.0
144Cattle,93578.0
231BrownBear,92952.0
435BactrianCamel,92436.0
417Giraffe,92405.0
1EurasianBeaver,92094.0
199Human,91848.0
357NorthernTamandua,90856.0
124GoldenJackal,90538.0
F141WoodSandpiper,90162.0
33WildTurkey,90069.0
10HouseMouse,89782.0
315RedDeer,89580.0
368EuropeanGroundSquirrel,89552.0
327SilverBream,88960.0
F70RedDeer,88085.0
376Kulan,88040.0
279bWesternGreyKangaroo,87895.0
130AlpineIbex,87867.0
111WestEuropeanHedgehog,87730.0
18WestEuropeanHedgehog,86784.0
372Emu,86451.0
157GreyHeron,86429.0
16FatDormouse,85565.0
201Human,85026.0
355HoffmannsTwotoedSloth,85006.0
5EuropeanHare,84756.0
2RaccoonDog,84432.0
226DomesticCat,84276.0
336SeiWhale,83941.0
280WesternGreyKangaroo,82911.0
34MallardDuck,82573.0
383ArcticWolf,82360.0
155LongtailedFieldMouse,82243.0
F53Mouflon,82191.0
339WhitebeakedDolphin,82060.0
287CommonBrushtail,81493.0
WS31,81148.0
224DomesticCat,80637.0
F90DomesticDog,80565.0
F66WildBoar,80259.0
228DomesticCat,80046.0
426UralOwl,79946.0
7EuropeanOtter,79814.0
